state,legal_status
CA,Legal
OR,Legal
WA,Legal
NM,Legal
CO,Legal
KS,Legal
MN,Legal
IL,Legal
MI,Legal
OH,Legal
PA,Legal
NY,Legal
ME,Legal
VA,Legal
DE,Legal
NJ,Legal
DC,Legal
PR,Legal
VI,Legal
AZ,In Flux
WY,In Flux
MT,In Flux
IA,In Flux
WI,In Flux
UT,Banned after 15-18 weeks
FL,Banned after 15-18 weeks
NE,Banned after 12-13 weeks
NC,Banned after 12-13 weeks
GU,Banned after 12-13 weeks
ID,Banned at conception or after 6 weeks
ND,Banned at conception or after 6 weeks
SD,Banned at conception or after 6 weeks
TX,Banned at conception or after 6 weeks
OK,Banned at conception or after 6 weeks
MO,Banned at conception or after 6 weeks
AR,Banned at conception or after 6 weeks
LA,Banned at conception or after 6 weeks
MS,Banned at conception or after 6 weeks
AL,Banned at conception or after 6 weeks
TN,Banned at conception or after 6 weeks
KY,Banned at conception or after 6 weeks
IN,Banned at conception or after 6 weeks
WV,Banned at conception or after 6 weeks
GA,Banned at conception or after 6 weeks
SC,Banned at conception or after 6 weeks
AS,Banned at conception or after 6 weeks
MP,Banned at conception or after 6 weeks
